Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Ks Qs 7s,2890,6424,2694,547,468,11792,124,7,54
Ah Ks Kh 6c,0,10904,10393,2414,79,251,890,68,1
As Qs Js 2h,5798,11040,3715,693,1013,2597,77,6,61
As Ks Js 3c,5870,10972,3753,663,922,2621,126,10,63
As 0d 8c 7s,6235,11730,3880,762,2038,237,113,5,0
As Jh 0d 9d,5824,11427,3824,706,2854,244,114,3,4
As Jh 0d 7c,6423,11898,3917,687,1957,0,114,4,0
As Jd 0d 8c,5945,11343,3874,705,2760,244,114,4,11
As Ks Js 4h,5969,10961,3725,726,933,2493,126,2,65
As Ks Kh 6c,0,10744,10304,2539,99,272,983,58,1
Ks Kh Qs Js,0,8228,9212,2314,1608,2566,874,80,118
As Ks Kh 9s,0,9264,9556,2299,66,2756,984,73,2
Jh 0d 8c 5h,6298,11741,3825,711,2048,248,120,9,0
8s 8c 6s 5h,0,9547,9782,2318,1990,244,1049,69,1
As Kc 0c 4c,5989,10896,3734,709,945,2590,131,3,3
Kc 7c 4h 4c,0,9231,9698,2308,154,2541,990,76,2
8s 8c 7d 7c,0,0,18662,772,373,210,4841,139,3
As Jh 0d 4s,6753,12093,3820,692,1285,223,126,5,3
As 0d 8c 7d,6185,11805,3795,713,2137,228,122,7,8
Jh 0d 8c 6d,6279,11609,3941,746,2062,238,116,9,0
Ah 8s 8c 6s,0,10529,10338,2509,276,270,1012,62,4
As Ah Ks Jd,0,10286,10018,2486,1032,248,861,67,2
As Ah Ks 3c,0,10756,10219,2604,191,252,901,75,2
0c 8s 8c 7c,0,8115,9265,2163,1695,2494,1051,66,151
Kc 0c 8s 7c,5497,10495,3741,690,1804,2645,117,6,5
Ah Ks Kh Qc,0,10224,10147,2356,1021,237,941,73,1
Qc 8s 7c 6s,5763,11269,3974,698,2732,462,91,6,5
As 0d 8c 6s,6741,11989,3926,770,1241,214,114,5,0
Kd 8s 7c 6s,5982,11269,3976,691,2730,234,107,3,8
Kd Kc 0c 7c,0,9045,9563,2374,327,2643,978,64,6
Kc 7c 6s 4c,5405,10558,3851,686,1701,2672,119,6,2
As 0d 8s 8c,0,10566,10362,2469,371,237,941,54,0
Kc Qc 0c 4c,2727,6285,2726,517,854,11644,114,5,128
As Ah Ac Ks,0,0,0,14850,105,271,8219,1555,0
Jc 8c 7c 6s,5091,10395,3739,658,2382,2557,105,5,68
As Jh 0d 8c,6076,11342,4017,699,2745,0,114,7,0
As Ah Ks 8h,0,10651,10260,2529,79,475,918,87,1
Qd 8s 7c 6s,5755,11450,3887,694,2839,236,126,9,4
Jc 8s 8c 6s,0,10429,10167,2527,351,454,986,81,5
Kh 0c 7c 4c,6046,11293,3744,647,471,2645,132,12,10
Jd 8s 8c 6s,0,10511,10371,2417,385,234,1014,63,5
As 0d 9h 8c,5946,11384,3867,768,2884,0,137,14,0
As Qs Js 8s,2769,6148,2704,496,839,11784,124,5,131
8c 7c 6s 3s,5750,11421,3840,707,2674,473,120,7,8
Kh 8s 7c 6s,5911,11342,3887,747,2734,241,127,7,4
Kc 0s 0c 7c,0,8968,9698,2278,293,2732,963,62,6
As Ah Ks 6c,0,10851,10374,2475,87,233,906,73,1
As Jh 8c 7s,6719,12180,3793,698,1228,259,111,12,0
As Ah Ks 9d,0,10893,10243,2551,92,233,923,63,2
Qd 8c 7c 6s,5834,11429,3884,710,2786,233,115,6,3
0c 7c 6h 4c,5034,10307,3769,739,2395,2631,113,7,5
As Jh 0d 5d,6736,11967,3903,745,1273,257,112,7,0
As Ah Jh 8c,0,10645,10252,2610,298,224,909,60,2
Kc 8s 7c 6s,5859,11277,3833,751,2661,481,131,3,4
As Ah Ks 5h,0,10629,10195,2572,197,463,866,76,2
As Ks Kh 3h,0,10664,10239,2425,179,473,943,76,1
Ks Qs Js 0s,1453,3901,2128,393,5213,8772,124,7,3009
As Ks Qs 2d,6022,10794,3866,635,892,2607,110,5,69
Jh 0d 8c 4d,6323,11629,3909,697,2061,244,135,2,0
Ks Qs Js 3s,2722,6159,2768,489,864,11717,125,7,149
As Kc Qs Js,4361,8778,3334,594,5215,2526,128,6,58
As Ks Js 2s,2952,6331,2751,530,479,11759,120,3,75
As 0d 8c 3d,7161,12560,3735,701,458,241,140,4,0
8s 7c 6s 2c,5793,11335,3859,750,2687,460,107,6,3
As Qs Js 5s,3014,6430,2677,517,524,11654,122,6,56
As Ad 0d 8c,0,10626,10370,2482,362,217,879,60,4
Jh 0d 8c 2s,6459,11863,3872,686,1991,0,125,4,0
8s 7c 6s 6h,0,8810,9893,2205,2731,200,1097,58,6
